Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
171,1459120924,0.792542,1.08414,5.14404,-0.128235,-0.095459,1.01642,-0.17836,0.29666,-0.16184,260.139,-7.44222,6.0067
172,1459120925,-0.927124,-0.53833,5.77957,-0.0953369,-0.123535,0.987244,-0.1715,0.2793,-0.09156,260.756,-7.4116,5.95819
173,1459120925,-0.246735,-2.36267,4.61319,-0.0771484,-0.147461,0.985413,-0.1344,0.29652,-0.12194,261.204,-7.52051,5.81207
174,1459120925,-0.665436,-0.837402,6.59454,-0.121826,-0.158752,0.994812,-0.1316,0.32662,-0.16324,261.617,-7.67538,5.92905
175,1459120925,0.418701,-0.171967,4.93469,-0.108826,-0.0919189,1.0141,-0.1211,0.3353,-0.1729,261.972,-7.42302,5.94897
176,1459120925,-2.16827,-3.20755,3.89542,-0.067688,-0.114319,0.964417,-0.12488,0.33502,-0.1666,262.329,-7.35886,5.76203
177,1459120926,-0.478516,-1.33087,5.51041,-0.0898438,-0.156616,0.976624,-0.11774,0.33208,-0.15554,262.648,-7.53178,5.71232
178,1459120926,1.60751,0.112152,5.89172,-0.137939,-0.127563,1.01862,-0.15386,0.31864,-0.13888,263.094,-7.49154,5.9176
179,1459120926,-0.598145,-0.411224,3.73093,-0.0947876,-0.106323,0.995911,-0.1008,0.32732,-0.08148,263.33,-7.35213,5.86956
180,1459120926,-0.246735,-2.33276,4.94965,-0.0861206,-0.140381,0.991211,-0.0987,0.37548,-0.15204,263.53,-7.42282,5.77966
181,1459120926,0.343933,-0.037384,6.01883,-0.110535,-0.175415,0.992004,-0.10402,0.35322,-0.0931,263.751,-7.68412,5.83738
182,1459120927,1.30096,0.680389,4.58328,-0.124573,-0.105896,1.0321,-0.09674,0.36862,-0.15764,263.932,-7.49608,5.94554
183,1459120927,-2.44492,-0.613098,3.60382,-0.0803833,-0.131104,0.99292,-0.08722,0.34678,-0.15554,264.084,-7.49863,5.81477
184,1459120927,0.358887,-2.41501,4.27673,-0.0836792,-0.135681,0.981812,-0.1211,0.34972,-0.15876,264.344,-7.53506,5.72197
185,1459120927,2.23557,1.68976,6.07864,-0.122314,-0.184998,1.00616,-0.09912,0.35826,-0.08792,264.518,-7.8279,5.84419
186,1459120927,-0.239258,-1.3533,5.48798,-0.112488,-0.0888062,1.00891,-0.11116,0.3794,-0.15806,264.717,-7.54673,5.89654
187,1459120928,-0.0971985,-0.246735,6.32538,-0.09198,-0.149536,1.0083,-0.07658,0.3528,-0.1008,264.808,-7.63658,5.82759
188,1459120928,1.30096,-2.35519,6.26556,-0.0968628,-0.155518,1.00861,-0.05698,0.36666,-0.13398,264.826,-7.75067,5.79313
189,1459120928,0.269165,0.381317,5.85434,-0.119995,-0.149414,1.0152,-0.04662,0.4011,-0.16198,264.795,-7.81377,5.88933
190,1459120928,-3.70102,-1.32339,4.90479,-0.0860596,-0.0794678,0.98877,-0.04564,0.4123,-0.16058,264.757,-7.49757,5.79904
